"id","text","lat","lon","in_country","gazref","feature_type","pop_size","geom","poly","ptype"
194,"Prince's Street Gardens",55.9497435,-3.2019502,NULL,"pg9126",NULL,NULL,"0101000020E6100000835D0311989D09C0560BEC3191F94B40","0103000020E6100000010000001C000000835D0311989D09C0560BEC3191F94B40FEC5223C909B09C09586753E97F94B40EA1AD24D079709C04D9539A7A3F94B407976F9D6879509C0211E8997A7F94B4006B75ACC749409C0D3D62DA7A9F94B40166A4DF38E9309C00DE9A683ABF94B40A93528F5C09209C0DC86ACC9AEF94B4022E758390F9209C06A21B715B1F94B400F6BE0FDA79109C07CD11E2FA4F94B403C16DBA4A29109C0DC4F21B2A3F94B40932F0D688E9109C0CBBC55D7A1F94B401BE54F0AA99109C00E709C6F9FF94B4096DE48EA4E9109C008AAEBF593F94B400F6BE0FDA79109C069D8391790F94B405B7E3BE4C19109C07D3B2E4F8CF94B4006E4011BC69309C01AFE2EC786F94B40B6114F76339309C0B697D98C78F94B40B846BA55C69509C053C433B275F94B40A629029CDE9509C0B905A62E74F94B40C0B4A84F729709C031708AD871F94B40F1F44A59869809C05E24FE7277F94B4040506EDBF79809C0F6D61B107CF94B4016ED3BD0549909C04DB450D77FF94B40C676AD73C29A09C069CFC02385F94B401000C1C1839B09C0A2C15C4189F94B40BA336EC5599C09C0245289A18BF94B402F1BF8ACC69D09C0CBF21A608BF94B40835D0311989D09C0560BEC3191F94B40","land"
202,"St. Giles",55.9493396,-3.1905294,NULL,"pg10914",NULL,NULL,"0101000020E61000007A692F47348609C01C66C3F583F94B40","0103000020E610000001000000180000007A692F47348609C01C66C3F583F94B403C4ACA822E8609C09F7829D082F94B4083442454BA8509C0D5B9FD4D83F94B40173D015EB08509C075971F1384F94B400863FA14B68509C00F7052E284F94B402F8B89CDC78509C0924E6E2585F94B40150555FE108609C039EFFFE384F94B40F3B3ECA4198609C0F17E81C586F94B40BDA94885B18509C0A33D5E4887F94B40E62E7887CA8509C029379BD88DF94B4085573783648609C00B0A83328DF94B409B2B39DD688609C0E12879758EF94B40DCD440F3398709C07CD9D1938DF94B40F04BA203378709C0940733B78CF94B4036583849F38709C0E2EC31EC8BF94B401BAA189DE28709C06D58AE1287F94B4091D10149D88709C075971F1384F94B40273C574A858709C016EB0A6C84F94B40FB7376D77E8709C088DA368C82F94B401F1A715C218709C04CA8E0F082F94B40866753BF1C8709C08293C89981F94B405A23CCFE8A8609C0CF447D3782F94B403FCF55A98F8609C08117C79283F94B407A692F47348609C01C66C3F583F94B40","building"
204,"Scott Monument",55.952389,-3.193253,NULL,"pg17",NULL,NULL,"0101000020E6100000C3D4963AC88B09C0FA08FCE1E7F94B40",NULL,NULL
205,"High Street",55.9501,-3.1882,NULL,"pg5560",NULL,NULL,"0101000020E61000008CDB68006F8109C0FDF675E09CF94B40",NULL,NULL
206,"Canongate",55.9515,-3.1793,NULL,"pg1868",NULL,NULL,"0101000020E6100000E561A1D6346F09C06F1283C0CAF94B40",NULL,NULL
207,"Holyrood Palace",55.952512,-3.173385,NULL,"pg5649",NULL,NULL,"0101000020E610000089EFC4AC176309C01686C8E9EBF94B40",NULL,NULL
208,"Salisbury Crags",55.9458711,-3.1740706,NULL,"pg9841",NULL,NULL,"0101000020E61000008F8F71207F6409C0A35DE04D12F94B40",NULL,NULL
210,"New Town",55.9583198,-3.1992422,NULL,"pg7933",NULL,NULL,"0101000020E61000005FDD674B0C9809C0FC0D2439AAFA4B40","0103000020E61000000100000040000000ECDB4944F8A709C064294822EAF94B40C42E4091DDAB09C0B1E5F0A4E0F94B402648B6042AAD09C002261532FCF94B409E1095A185AF09C08D49DAE8F7F94B409BCB683FADAD09C04A743BA011FA4B400CA2FF2FE8AE09C0F5108DEE20FA4B4083B4102E2EAF09C01E7C17A53AFA4B4089F08A3B39AE09C0F043EF9E4DFA4B40455156C2C9AC09C0C4B5DAC35EFA4B4039FC242D4BAA09C01401F33570FA4B40855FEAE74DA509C08DD6AC8E77FA4B4036D5496C2DA209C03D2185FC7DFA4B40C5234CACE79F09C03EA3BE767AFA4B40D305065ACB9E09C0BC26FFEE78FA4B403201BF4692A009C0578D6F39A8FA4B40CAABCEC53AA009C0C04B5FBEABFA4B40C12A2856579F09C0357392F7BBFA4B402E2D3421F79E09C003F7F2F1BFFA4B40241F0599AEA109C043763980D9FA4B40A85FD85020A209C0A886A2E5E5FA4B40D59D825726A709C0043F051B32FB4B4079E51F22DAA309C0576B724232FB4B40928BD6F61BA209C0E062EA5333FB4B40C78D113FB5A009C062DFA9DB34FB4B40B1DEA815A69F09C0CEC9E60533FB4B40D5207134EC9C09C04888F2052DFB4B405397E71C979C09C00DE60A4A2CFB4B40E848D345AF9B09C0601278712CFB4B40FD6607019E9909C023C385973BFB4B4006C13E952E9809C03FADA23F34FB4B4095EAA7A4F39609C03AB4233031FB4B4017E64EFA8C9509C062DFA9DB34FB4B40CC54D2D4FC9209C011DF89592FFB4B40BD23BE6E6C9109C0B09F0FE03EFB4B40D875B9D27C8F09C0D89FC4E74EFB4B405E0E6036A68C09C05CC41CA963FB4B40EDB36F93F68B09C03CB36ECD67FB4B403F94C382568B09C03BC1A3326AFB4B40BA956FC7E58909C057105E166EFB4B40DB5031CEDF8409C0554733BB93FB4B40F36789DF5E8309C02B5E7699ABFB4B40ECAB06BC277A09C0B6F86FB955FB4B40018B57B4947709C05D3123BC3DFB4B409E0546031D7209C00A01AF850FFB4B40436BEAE1706B09C0116A2B9BDEFA4B40BA7BCA7BE66609C0DF94A8CDEEFA4B404DB450D77F6209C0BAE9E0AAFCFA4B409D819197356109C0D287D3EEFCFA4B40F9646AB7025F09C010CCD1E3F7FA4B4090EFF730206009C023E3079DC6FA4B40EF0A3323726009C000E07DFA74FA4B40518369183E6209C0AE85B4215AFA4B406D776A89F06A09C07F1475E61EFA4B403BDFF4D3246D09C074AB313212FA4B403185BD3F946E09C0FAD577D90AFA4B40A94D9CDCEF7009C0037D7D0805FA4B4013E8B8BF1F7309C0C90EE0E302FA4B40C938EBF8D47609C0D6636C32F4F94B4005EA831BDF7D09C027648CB4F9F94B4008E3A7716F7E09C0C6979A4EFCF94B4013F3ACA4157F09C0582B24AA01FA4B4009BE0E417A7F09C00FE6C0BC11FA4B407890E8AFA1A509C0094C4CBCA8F94B40ECDB4944F8A709C064294822EAF94B40","neighbourhood"
211,"Granton",55.9785756,-3.2250203,NULL,"pg5055",NULL,NULL,"0101000020E6100000277D6B71D7CC09C0F0541BF741FD4B40","0103000020E6100000010000003E00000088742E7BC8BA09C0DBBC169925FE4B40A77A32FFE8BB09C06B3E5354A2FD4B40F03A76AB42BE09C0A3F66C67A9FD4B40D5B14AE999BE09C09B560A815CFD4B40FFD53E7848BC09C0D2753CC159FD4B40BB44F5D6C0B609C0CD98DDEE40FC4B40ACCABE2B82BF09C0694C2D0032FC4B401E43119C44CE09C0C0CFB87020FC4B409BB22EC95CD409C07920B24813FC4B404FC69D7708D809C0E712584AE0FC4B40E12DEB596BE309C08278B878D3FC4B40EA57DF652BE409C05C9CE73EEFFC4B40C295A24BEEE609C05EF00E95EBFC4B4092E9D0E979E709C03A6865B103FD4B4028FA3207F7E909C0C28AAE66F8FC4B405504EE2F71EA09C07C7A11120EFD4B406114A9D5FCED09C04B0169FF03FD4B400B0852CEBCF109C0E3BE7A81FEFC4B40217134EC9CFB09C07D7D080500FD4B405CEE8277A8FC09C09C97796121FD4B4092448A5CCBFF09C0786572C520FD4B4024511ECCDC020AC036A737482DFD4B40405E59B3DF040AC01473B5BA41FD4B40659588A6A2070AC07961C66F65FD4B402D9D6A8885050AC0EF94698F72FD4B40E24515B47F040AC0ADD62E127FFD4B40CF84268925050AC09048803FA1FD4B4019DC7B5D2B060AC083FD3273DCFD4B402877442A31040AC042E90B21E7FD4B409E54450257030AC0BCC4FDECECFD4B408007AB56CB020AC098E8E225EEFD4B4064FA6F6FC8000AC0EEE7B92AF5FD4B4006E22B7068000AC057D4BBD3F8FD4B40C616821C94000AC0E1F4899702FE4B405FD4491174FF09C0037D7D0805FE4B40E8723914F4FD09C07A06C36FF9FD4B407DE882FA96F909C0CB5FC6B9F2FD4B40808A993391F809C089A18B3CFFFD4B401BAA189DE2F709C0EF91CD55F3FD4B409F008A9125F309C064C7EB66EBFD4B40F36ACA5F6BF009C075B6DB89EDFD4B4003684AA1E2EE09C0453BB885F8FD4B404999791794EE09C0DF4CF15DEFFD4B40D1D5B1A5A2EC09C087F9F202ECFD4B401607E11B54EC09C057D4BBD3F8FD4B4056D28A6F28EC09C0AB2BFA9EECFD4B40F9B94670C8EB09C0F03BE180F1FD4B405570D3FAB6EB09C053D8FB43E9FD4B403C2707FD96EA09C0206118B0E4FD4B406A7121EA99E909C077B4160BE8FD4B4030174C570BE709C0E69A5D5210FE4B40E7FF55478EE409C03FECE0BB28FE4B405CFFAECF9CE509C07C04487E0EFE4B401146A28625E409C0F437A11001FE4B406DDAD6602BE209C0AF27BA2EFCFD4B40A85D02A6C2DE09C0F437A11001FE4B40CE7D288705DD09C007793D9814FE4B400B630B410EDA09C0F03A76AB42FE4B40AA6400A8E2D609C0FA861D215EFE4B40CE6CFC2E11C409C0993CAFC277FE4B40DFA9DB3411C109C07808E3A771FE4B4088742E7BC8BA09C0DBBC169925FE4B40","suburb"
212,"Leith",55.9757865,-3.1680197,NULL,"pg6558",NULL,NULL,"0101000020E61000007BAB64B61A5809C06CB07092E6FC4B40","0103000020E6100000010000002B000000986FD811E27509C038DA71C3EFFE4B40B96DDFA3FE7A09C0041C42959AFE4B40E2D693AFBA9409C071766B990CFE4B4074362E2D349109C0510A044BBFFD4B40927DEB1E349609C02AC58EC6A1FD4B404BB1A371A88F09C07E2DF9E989FC4B404E97C5C4E69309C0A0223DFB80FC4B40742909E46D9009C0928433AE6EFC4B405D137761108D09C09CE337E04EFC4B4078D49810738909C03F73D6A71CFC4B4098A77345298109C029CE5147C7FB4B40F36789DF5E8309C02B5E7699ABFB4B40ECAB06BC277A09C0B6F86FB955FB4B409E0546031D7209C00A01AF850FFB4B40436BEAE1706B09C0116A2B9BDEFA4B40BA7BCA7BE66609C0DF94A8CDEEFA4B404DB450D77F6209C0BAE9E0AAFCFA4B409D819197356109C0D287D3EEFCFA4B40F9646AB7025F09C010CCD1E3F7FA4B4009771D609C5E09C0BC010B0511FB4B4086F35FD67A5509C0ACAD3319E9FA4B407EA026440A4F09C036296096D1FA4B40DD00D8254F4E09C08ABD61ECCEFA4B40778C86E7004C09C03E01B969D8FA4B40687517CD6F4D09C03A90F5D4EAFA4B40BF12A342D04C09C078503F5EFEFA4B40896F7209D14B09C0C1374D9F1DFB4B40CE29125D614B09C00E901E752AFB4B400EB10B50644709C04B5068FE3DFB4B4018A600625C4B09C057BA71416CFB4B400ED1329C7C4409C00051D5A997FB4B40A57911B7543F09C03B5B9B21B0FB4B403F92EDD7F83709C0E0D517AEB3FB4B409251AFA5913009C0E0298991CAFB4B40C17C68D59D2D09C0A05B9EBDE9FB4B4026B6717ACD3109C0B752BE56F8FB4B40FC2A0A05B63409C046A68D3402FC4B406974626AA63609C01BD7BFEB33FC4B4083CDEFEA0B3709C0B4D59B0766FC4B40FCD3FCE71F3309C0370076C993FC4B40A50AEB6B023109C09F42098E26FD4B40CC6E7720FC4509C091894AD9D8FD4B40986FD811E27509C038DA71C3EFFE4B40","suburb"
