"id","docid","title","pubdate","type","author","majlang","collection_id","url"
318,"loc.ark:/13960/t7rn40s0x","Wandering thoughts and wandering steps.","1880-01-01","Book","Parker, W.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t7rn40s0x"
319,"loc.ark:/13960/t3126d02t","Little memoirs of the eighteenth century,","1901-01-01","Book","Paston, George","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3126d02t"
320,"loc.ark:/13960/t77s8jc2c","Reminiscences of European travel,","1896-01-01","Book","Peabody, Andrew P.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t77s8jc2c"
321,"uiuo.ark:/13960/t04x5wd9q","The black watch.","1834-01-01","Book","Picken, Andrew","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t04x5wd9q"
322,"uiuo.ark:/13960/t9d517f38","The black watch.","1834-01-01","Book","Picken, Andrew","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t9d517f38"
323,"loc.ark:/13960/t1cj9318z","A southerner in Europe;","1908-01-01","Book","Poe, Clarence Hamilton","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t1cj9318z"
324,"uc2.ark:/13960/t8w956f1v","Diary of the late Rajah of Kolhapoor, during his visit to Europe in 1870.","1872-01-01","Book","Rajah Ram Chuttraputtee","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t8w956f1v"
325,"uc2.ark:/13960/t28914d0b","Nineteenth century letters,","1919-01-01","Book","Rees, Byron Johnson","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t28914d0b"
326,"loc.ark:/13960/t6g16p43x","We four.","1880-01-01","Book","Rees, L. L.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t6g16p43x"
327,"uc2.ark:/13960/t2x34x09s","Diary, reminiscences, and correspondence of Henry Crabb Robinson ...","1877-01-01","Book","Robinson, Henry Crabb","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t2x34x09s"
328,"loc.ark:/13960/t1pg2hw4n","Travels in Europe and Northern Africa.","1901-01-01","Book","Rose, W. G.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t1pg2hw4n"
329,"loc.ark:/13960/t5fb5rb5j","Eight journeys abroad /","1917-01-01","Book","Rosengarten, Mary D. Richardson","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t5fb5rb5j"
330,"loc.ark:/13960/t8v990b6n","European days and ways,","1902-01-01","Book","Rusling, James Fowler","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t8v990b6n"
331,"loc.ark:/13960/t3bz6r64c","Library notes,","1879-01-01","Book","Russell, A. P.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3bz6r64c"
332,"uiuo.ark:/13960/t5v702j7q","The Itinerant;","1817-01-01","Book","Ryley, S. W.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t5v702j7q"
333,"uc2.ark:/13960/t1wd3s83z","The road to Dumbiedykes;","1920-01-01","Book","Sanders, Alvin Howard","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t1wd3s83z"
334,"uc2.ark:/13960/t02z15h83","Journal of a lady of quality;","1921-01-01","Book","Schaw, Janet","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t02z15h83"
338,"loc.ark:/13960/t39031p4v","Guy Mannering /","1868-01-01","Book","Scott, Walter","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t39031p4v"
340,"uc2.ark:/13960/t7jq0vz0t","The journal of Sir Walter Scott,","1891-01-01","Book","Scott, Walter","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t7jq0vz0t"
341,"uiuo.ark:/13960/t86h56406","The fortunes of Nigel /","1822-01-01","Book","Scott, Walter","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t86h56406"
343,"uc2.ark:/13960/t9862md7s","The pirate ; The fortunes of Nigel /","1880-01-01","Book","Scott, Walter","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t9862md7s"
344,"uc2.ark:/13960/t6pz5404s","Five months abroad;","1882-01-01","Book","Scripps, James E.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t6pz5404s"
345,"loc.ark:/13960/t7pn9z13c","Crusading with Knights templar under the banners of Allegheny commandery, no. 35,","1879-01-01","Book","Semple, David W.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t7pn9z13c"
346,"loc.ark:/13960/t6qz2x518","Days of the past;","1905-01-01","Book","Shand, Alexander Innes","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t6qz2x518"
347,"uc2.ark:/13960/t9377p56p","A journal of travels in England, Holland and Scotland,","1820-01-01","Book","Silliman, Benjamin","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t9377p56p"
348,"loc.ark:/13960/t8pc3p50n","Our trip to Europe,","1917-01-01","Book","Simmonds, Irene","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t8pc3p50n"
349,"uc2.ark:/13960/t5bc44j0d","Journal of a tour and residence in Great Britain, during the years 1810 and 1811, by a French traveller :","1815-01-01","Book","Simond, L.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t5bc44j0d"
350,"loc.ark:/13960/t9g457t6f","Reminiscences of childhood at Inverkeithing;","1882-01-01","Book","Simson, James","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t9g457t6f"
351,"uc2.ark:/13960/t23b60x60","Holiday House :","1839-01-01","Book","Sinclair, Catherine","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t23b60x60"
352,"uc2.ark:/13960/t4hm53v8z","Modern accomplishments, or, The march of intellect /","1841-01-01","Book","Sinclair, Catherine","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t4hm53v8z"
353,"uc2.ark:/13960/t7dr31b5g","Modern society;","1838-01-01","Book","Sinclair, Catherine","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t7dr31b5g"
354,"uiuo.ark:/13960/t7xk8zr2d","Modern flirtations :","1841-01-01","Book","Sinclair, Catherine","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t7xk8zr2d"
355,"loc.ark:/13960/t0sq9cv48","Allan Ramsay,","1896-01-01","Book","Smeaton, William Henry Oliphant","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t0sq9cv48"
356,"uc2.ark:/13960/t6h135c50","Autobiography of Samuel Smiles ...","1905-01-01","Book","Smiles, Samuel","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t6h135c50"
357,"loc.ark:/13960/t1xd1kb4d","A summer's jaunt across the water.","1846-01-01","Book","Smith, J. Jay","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t1xd1kb4d"
358,"loc.ark:/13960/t3dz0xm5n","From Occident to Orient.","1897-01-01","Book","Smith, William Alexander","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3dz0xm5n"
359,"loc.ark:/13960/t3ws9kr79","Dreamthorp:","1864-01-01","Book","Smith, Alexander","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3ws9kr79"
360,"uc2.ark:/13960/t5x63jt3k","Last leaves;","1868-01-01","Book","Smith, Alexander","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t5x63jt3k"
361,"loc.ark:/13960/t1qf96q49","A summer across the sea,","1908-01-01","Book","Snowden, James H.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t1qf96q49"
362,"loc.ark:/13960/t72v3d369","Eight lands in eight weeks;","1911-01-01","Book","Snyder, Marcia Penfield","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t72v3d369"
363,"loc.ark:/13960/t8sb4xr04","Wayside notes and fireside thoughts.","1884-01-01","Book","South, Eudora Lindsay","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t8sb4xr04"
364,"loc.ark:/13960/t2b85tw0p","The dawn of freedom;","1904-01-01","Book","St. John, Charles Henry","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t2b85tw0p"
365,"uc2.ark:/13960/t16m3369j","Mr. Peters :","1897-01-01","Book","Stephens, Riccardo","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t16m3369j"
366,"uc2.ark:/13960/t05x2nn94","The novels and tales of Robert Louis Stevenson.","1903-01-01","Book","Stevenson, Robert Louis","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t05x2nn94"
367,"uc2.ark:/13960/t0qr4q44t","The novels and tales of Robert Louis Stevenson.","1903-01-01","Book","Stevenson, Robert Louis","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t0qr4q44t"
368,"loc.ark:/13960/t0wq0w57g","Virginibus puerisque, and other papers,","1905-01-01","Book","Stevenson, Robert Louis","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t0wq0w57g"
369,"uc2.ark:/13960/t2988b585","St. Ives;","1897-01-01","Book","Stevenson, Robert Louis","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t2988b585"
370,"uc2.ark:/13960/t40r9nz7p","The novels and tales of Robert Louis Stevenson.","1903-01-01","Book","Stevenson, Robert Louis","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t40r9nz7p"
371,"loc.ark:/13960/t43r1g13g","Across the plains with other memories and essays,","1896-01-01","Book","Stevenson, Robert Louis","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t43r1g13g"
372,"uc2.ark:/13960/t50g3wh32","The works of Robert Louis Stevenson;","1906-01-01","Book","Stevenson, Robert Louis","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t50g3wh32"
373,"uc2.ark:/13960/t5s75m18c","The works of Robert Louis Stevenson;","1906-01-01","Book","Stevenson, Robert Louis","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t5s75m18c"
374,"uc2.ark:/13960/t72v2ft0v","Sights and scenes in Europe :","1882-01-01","Book","Stevenson, William","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t72v2ft0v"
375,"loc.ark:/13960/t76t18931","Essays by Robert Louis Stevenson,","1918-01-01","Book","Stevenson, Robert Louis","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t76t18931"
376,"uc2.ark:/13960/t78s4z223","Memories and portraits,","1895-01-01","Book","Stevenson, Robert Louis","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t78s4z223"
377,"uc2.ark:/13960/t7sn0dv9x","The works of Robert Louis Stevenson;","1906-01-01","Book","Stevenson, Robert Louis","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t7sn0dv9x"
378,"loc.ark:/13960/t9086wk0p","Lay morals, and other papers,","1911-01-01","Book","Stevenson, Robert Louis","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t9086wk0p"
379,"uc2.ark:/13960/t9v11xp78","The novels and tales of Robert Louis Stevenson.","1903-01-01","Book","Stevenson, Robert Louis","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t9v11xp78"
380,"loc.ark:/13960/t2m62652f","A winter jaunt through historic lands.","1890-01-01","Book","Stine, Milton Henry","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t2m62652f"
381,"miun.adm0370.0001.001","Sunny memories of foreign lands /","1854-01-01","Book","Stowe, Harriet Beecher","eng",2,"http://babel.hathitrust.org/cgi/pt?id=miun.adm0370.0001.001"
382,"uc2.ark:/13960/t28913f68","Sheila /","1900-01-01","Book","Swan, Annie S.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t28913f68"
383,"loc.ark:/13960/t9k36gd20","Highways of travel;","1859-01-01","Book","Sweat, Margaret J. M.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t9k36gd20"
384,"yale.39002030973235","Bohemian days;","1889-01-01","Book","Tadlock, Clara Moyse","eng",2,"http://babel.hathitrust.org/cgi/pt?id=yale.39002030973235"
385,"loc.ark:/13960/t17m0tt42","Crumbs swept up,","1870-01-01","Book","Talmage, Thomas De Witt","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t17m0tt42"
386,"loc.ark:/13960/t8w95pm5t","The British isles through an opera glass,","1899-01-01","Book","Taylor, Charles M.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t8w95pm5t"
387,"loc.ark:/13960/t3514p71x","Beaten paths;","1874-01-01","Book","Thompson, Ella W.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3514p71x"
388,"loc.ark:/13960/t9r21fx52","From the Thames to the Trosachs.","1890-01-01","Book","Thompson, E. H.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t9r21fx52"
