author,Arthur's Seat,Bruntsfield,Canongate,Castle Street,Cumberland Bar,Dalkeith,Drummond Place,Dundas Street,Forth,Grassmarket,Heriot Row,High Street,Holyrood,Howe Street,India Street,Leith,Leith Walk,Moray Place,Morningside,New Town,Old Town,Princes Street,Queen Street,Scotland Street,Scottish Parliament,Stockbridge,The Meadows,Tollcross,Water of Leith,Waverley Station
Alexander McCall Smith,0.02304426925409339,0.03274711946634324,0.004851425106124924,0.0018192844147968466,0.05821710127349909,0.013341419041843541,0.06428138265615524,0.07883565797453002,0.018192844147968467,0.01212856276531231,0.02607640994542147,0.010309278350515464,0.0072771376591873865,0.029108550636749546,0.04608853850818678,0.02850212249848393,0.009702850212249849,0.08065494238932687,0.02971497877501516,0.044269254093389936,0.011522134627046696,0.04002425712553062,0.05154639175257732,0.16798059429957551,0.006064281382656155,0.030321406913280776,0.030321406913280776,0.0072771376591873865,0.018192844147968467,0.01758641600970285
Irvine Welsh,0.012320328542094456,0.006160164271047228,0.0,0.002053388090349076,0.0,0.0,0.0,0.0,0.02053388090349076,0.01026694045174538,0.0,0.008213552361396304,0.0,0.0,0.0,0.6673511293634496,0.057494866529774126,0.0,0.008213552361396304,0.01642710472279261,0.004106776180698152,0.03285420944558522,0.006160164271047228,0.0,0.006160164271047228,0.014373716632443531,0.018480492813141684,0.061601642710472276,0.014373716632443531,0.03285420944558522
John Gibson Lockhart,0.04186046511627907,0.0,0.25116279069767444,0.22790697674418606,0.0,0.027906976744186046,0.0,0.0,0.027906976744186046,0.027906976744186046,0.004651162790697674,0.037209302325581395,0.07906976744186046,0.0,0.0,0.11162790697674418,0.004651162790697674,0.0,0.0,0.037209302325581395,0.046511627906976744,0.06511627906976744,0.009302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Louis Stevenson,0.05474452554744526,0.0072992700729927005,0.0072992700729927005,0.014598540145985401,0.0,0.0,0.0,0.0072992700729927005,0.11313868613138686,0.010948905109489052,0.0948905109489051,0.06204379562043796,0.029197080291970802,0.014598540145985401,0.0072992700729927005,0.13138686131386862,0.025547445255474453,0.0072992700729927005,0.014598540145985401,0.0948905109489051,0.0948905109489051,0.1678832116788321,0.0072992700729927005,0.0,0.0,0.010948905109489052,0.0,0.0,0.021897810218978103,0.0
Walter Scott,0.040214477211796246,0.0,0.1769436997319035,0.00804289544235925,0.0,0.06970509383378017,0.0,0.0,0.1769436997319035,0.04825737265415549,0.002680965147453083,0.05630026809651475,0.1260053619302949,0.0,0.0,0.13941018766756033,0.002680965147453083,0.0,0.0,0.021447721179624665,0.010723860589812333,0.01876675603217158,0.002680965147453083,0.0,0.09115281501340483,0.0,0.0,0.0,0.00804289544235925,0.0
