id,text,lat,lon,sector
90,Old Town,55.9471293,-3.2002511,Old Town
91,Edinburgh,55.949428,-3.192704,Old Town
184,Musselburgh,55.9421202,-3.0538516,Outside Edinburgh
185,Holyrood,55.9498473,-3.183502,Old Town
186,Auld Reekie,55.949428,-3.192704,Old Town
187,Prince's Street,55.9526,-3.193,New Town
188,Calton Hill,55.9556726,-3.1824089,Outside Edinburgh
189,Firth of Forth,56.058,-3.0198,Outside Edinburgh
191,St. Giles's,55.9493396,-3.1905294,Old Town
193,Nelson Monument,55.9544051,-3.1827724,Outside Edinburgh
194,Prince's Street Gardens,55.9497435,-3.2019502,New Town
202,St. Giles,55.9493396,-3.1905294,Old Town
204,Scott Monument,55.952389,-3.193253,New Town
205,High Street,55.9501,-3.1882,Old Town
206,Canongate,55.9515,-3.1793,Canongate
207,Holyrood Palace,55.952512,-3.173385,Canongate
208,Salisbury Crags,55.9458711,-3.1740706,Craigentinny/Duddingston
210,New Town,55.9583198,-3.1992422,New Town
211,Granton,55.9785756,-3.2250203,Forth
212,Leith,55.9757865,-3.1680197,Leith
214,Grassmarket,55.9474,-3.196,Old Town
215,West Port,55.9464,-3.1999,Old Town
216,Bruntsfield Links,55.9409752,-3.1985839,South Central
217,Morningside,55.9274145,-3.2106492,South Central
219,Mons Meg,55.9487741,-3.2001579,Old Town
223,Castle Street,55.9521,-3.2033,New Town
227,North Bridge,55.9518,-3.1883,New Town
228,Prince's Gardens,55.9497435,-3.2019502,New Town
229,Waverley Station,55.951727,-3.191506,New Town
239,Greyfriars Church,55.9466769,-3.1926782,Old Town
243,Duddingstone,55.9420116,-3.1506163,Craigentinny/Duddingston
247,Forth,56.054591,-3.718683,Outside Edinburgh
251,Harmony House,55.930155,-3.204209,South Central
253,Water of Leith,55.9794536,-3.1711848,Leith
254,Dean Cemetery,55.950909,-3.222725,Inverleith
255,Heart of Midlothian,55.9495655,-3.1914772,Old Town
257,Corstorphine,55.9446703,-3.2817379,Western Edinburgh
