id,text,lat,lon,sector,method
1199,Prestonpans,55.955002,-2.994515,Portobello/Craigmillar,nearest(0.079180)
1200,Portobello,55.9528635,-3.1145573,Portobello/Craigmillar,exact
1202,Arthur's Seat,55.943718,-3.154978,Craigentinny/Duddingston,exact
1205,George Hotel,55.9538896,-3.1964354,New Town,exact
1206,George Square,55.9442,-3.1893,South Central,exact
1214,The George Hotel,55.9538896,-3.1964354,New Town,exact
1235,Union Bank of Scotland,55.951246,-3.10828,Portobello/Craigmillar,exact
1257,Ann Street,55.9564,-3.213,Inverleith,exact
1258,Jamaica Street,55.956,-3.2026,New Town,exact
1296,Botanic Gardens,55.96203,-3.185319,Leith,exact
1308,Boghall,55.8733672,-3.2096192,Pentlands,nearest(0.008693)
1341,Cameron House,55.9328829,-3.1583611,South Central,exact
1344,Arden House,55.945446,-3.0390881,Portobello/Craigmillar,nearest(0.034677)
1359,Merchiston,55.9358753,-3.2171502,South Central,exact
1440,The Mound,55.9518983,-3.1974195,New Town,exact
1443,Nor' Loch,55.950135,-3.200252,New Town,exact
1444,Moray House,55.9497277,-3.179842,Canongate,exact
1445,Salisbury Crags,55.944379,-3.17069,Craigentinny/Duddingston,exact
1450,Old Tolbooth,55.949616,-3.191541,Old Town,exact
1452,West Bow,55.947819,-3.196094,Old Town,exact
1453,Castle Terrace,55.9468801,-3.2026112,Old Town,nearest(0.001199)
1454,Lothian Road,55.9476,-3.2062,New Town,nearest(0.001730)
1461,Parliament Hall,55.948839,-3.190969,Old Town,exact
1469,Waterloo Place,55.9536,-3.1874,New Town,exact
1473,Waverley Bridge,55.9518,-3.1918,New Town,exact
1475,East Princes Street Gardens,55.9509254,-3.1948147,New Town,exact
1476,West Princes Street Gardens,55.9494719,-3.2039863,New Town,exact
1486,Romanes and Paterson,55.952661,-3.195219,New Town,exact
1487,Newhaven,55.9804283,-3.1949192,Forth,exact
1492,Fisherrow,55.943854,-3.059875,Portobello/Craigmillar,nearest(0.014808)
1497,Canonmills,55.9625,-3.1982,Inverleith,exact
1498,Register House,55.953707,-3.189293,New Town,exact
1501,North Leith,55.97757,-3.185795,Leith,exact
1502,Lasswade,55.88295,-3.118962,Liberton/Gilmerton,nearest(0.013584)
1547,Roslin Chapel,55.855372,-3.15988,Liberton/Gilmerton,nearest(0.033787)
1549,Pentland,55.882923,-3.177727,Pentlands,nearest(0.008504)
1553,Melville Castle,55.890998,-3.104324,Liberton/Gilmerton,nearest(0.008240)
